pr_number,priorities_number,author_identity,has_labels,mergable_state,has_assignees_content,self_accept_rate,self_closed_num_rate,self_contribution_rate,project_accept_rate,is_weekday,comment_num,review_comment_num,commit_num,file_changed_num,total_add_line,total_delete_line,label_count,workload,pre_prs,change_num,accept_num,close_num,review_num,participants_count,title_words,body_words,has_bug,has_document,has_feature,has_improve,has_refactor,deletions_per_week,additions_per_week,changes_per_week,per_lines_deleted_week_days,per_lines_added_week_days,per_lines_changed_week_days,deletions_per_pr,additions_per_pr,changes_per_pr,commits_average,comments_per_closed_pr,comments_per_merged_pr,close_latency,merge_latency
2157,4,0,0,0,0,1,0,0.0,0.7067833698030634,1,3,0,1,1,2,2,0,11,0,0,0,0,0,2,4,24,0,0,0,0,0,1102.1102040816327,1169.8979591836735,2272.008163265306,123.15238095238095,332.20952380952383,455.3619047619048,203.35375638220276,226.52808169219549,429.8818380743983,2.273522975929978,2.4669117647058822,2.2507739938080493,8.158088235294118,3.4293085655314757
2158,2,2,0,0,0,1,0,0.0,0.7077259475218659,0,4,1,1,1,1,1,0,10,0,0,0,0,0,2,9,41,0,0,0,0,0,1102.1102040816327,1169.8979591836735,2272.008163265306,50.41935483870968,79.66935483870968,130.08870967741936,203.2069970845481,226.36443148688048,429.57142857142856,2.272594752186589,2.4662261380323054,2.250257466529351,8.147577092511014,3.424304840370752
2159,3,2,0,0,0,0.9740061162079511,0.9954128440366973,0.4763292061179898,0.7079388201019665,0,0,0,1,6,6,6,0,10,654,311722,638,651,0,1,8,10,0,0,0,0,0,1102.1102040816327,1169.8979591836735,2272.008163265306,129.75,114.80434782608695,244.55434782608697,203.0597232337946,226.20029133284777,429.2600145666424,2.271667880553532,2.467351430667645,2.2520576131687244,8.14233308877476,3.421810699588477
2160,3,2,0,0,0,0.9740458015267176,0.9954198473282443,0.47671033478893743,0.7081513828238719,0,2,1,1,4,145,20,0,10,655,311734,639,652,271,1,7,2,0,0,0,0,0,1102.1102040816327,1169.8979591836735,2272.008163265306,128.41935483870967,113.63440860215054,242.05376344086022,202.91630276564774,226.04002911208153,428.95633187772927,2.2707423580786026,2.4655425219941347,2.249743062692703,8.137096774193548,3.419321685508736
2161,1,2,0,0,0,0.9725609756097561,0.9939024390243902,0.47709090909090907,0.7076363636363636,0,1,0,1,1,4,4,0,11,656,311899,640,652,0,1,4,0,0,0,0,0,0,1102.1102040816327,1169.8979591836735,2272.008163265306,127.26595744680851,113.96808510638297,241.2340425531915,202.78327272727273,225.9810909090909,428.7643636363636,2.2698181818181817,2.4655425219941347,2.249743062692703,8.137096774193548,3.419321685508736
2162,2,2,0,0,0,0.9726027397260274,0.9939117199391172,0.47747093023255816,0.7078488372093024,1,1,0,2,8,117,90,0,11,657,311907,641,653,0,1,6,0,0,0,0,0,0,1133.459349593496,1263.121951219512,2396.581300813008,174.93236714975845,242.70048309178745,417.6328502415459,202.6388081395349,225.81976744186048,428.45857558139534,2.2688953488372094,2.4652014652014653,2.2494866529774127,8.131868131868131,3.4168377823408624
2164,1,1,1,0,0,0.75,1.0,0.008714596949891068,0.7087872185911401,1,2,5,5,15,265,226,2,10,12,15285,9,12,5,3,6,82,0,0,0,0,0,1133.459349593496,1263.121951219512,2396.581300813008,137.5,270.06666666666666,407.56666666666666,202.55700798838055,225.74074074074073,428.2977487291213,2.268700072621641,2.463057790782736,2.2469262295081966,8.121433796634967,3.4118852459016393
2166,0,2,1,0,0,1,0,0.0,0.7089985486211902,1,10,6,4,8,141,2,3,10,0,0,0,0,0,3,7,0,0,0,0,0,0,1133.459349593496,1263.121951219512,2396.581300813008,122.5781990521327,330.6445497630332,453.22274881516586,202.57402031930334,225.76923076923077,428.3432510885341,2.2706821480406387,2.462719298245614,2.2466734902763563,8.116959064327485,3.4104401228249746
2168,0,1,0,0,0,1,0,0.0,0.7084844089920233,1,2,6,6,2,30,14,0,11,0,0,0,0,0,3,4,17,0,0,0,0,0,1130.157894736842,1260.1255060728745,2390.2834008097166,137.86721991701245,270.04564315352695,407.9128630705394,202.42857142857142,225.70775924583032,428.13633067440173,2.2719361856417692,2.462719298245614,2.2466734902763563,8.116959064327485,3.4104401228249746
2169,0,2,1,2,0,0.0,0.0,0.0007246376811594203,0.7079710144927536,0,14,2,4,22,399,43,3,12,1,143,0,0,1,5,8,0,0,0,0,0,0,1130.157894736842,1260.1255060728745,2390.2834008097166,50.024,79.04,129.064,202.29202898550724,225.56594202898552,427.85797101449276,2.27463768115942,2.462719298245614,2.2466734902763563,8.116959064327485,3.4104401228249746
